cycle_nodes,cycle_edges,vorticity
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Beck A.,Gimeno-Traver D.,Schuettler R.,Dolgopolov O.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Schuettler R.);(Schuettler R.,Dolgopolov O.);(Dolgopolov O.,Youzhny M.)",59.99999999999999
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Petzschner P.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Petzschner P.);(Petzschner P.,Youzhny M.)",59.99999999999999
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Monfils G.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Monfils G.);(Monfils G.,Youzhny M.)",59.99999999999999
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Verdasco F.,Berankis R.,Melzer J.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Verdasco F.);(Verdasco F.,Berankis R.);(Berankis R.,Melzer J.);(Melzer J.,Youzhny M.)",59.99999999999999
"Zverev M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Seppi A.,Fischer M.,Zeballos H.,Zverev M.","(Zverev M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Seppi A.);(Seppi A.,Fischer M.);(Fischer M.,Zeballos H.);(Zeballos H.,Zverev M.)",59.99999999999999
"Zverev M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Serra F.,Zverev M.","(Zverev M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Serra F.);(Serra F.,Zverev M.)",59.99999999999999
"Isner J.,Golubev A.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Greul S.,Isner J.","(Isner J.,Golubev A.);(Golubev A.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Greul S.);(Greul S.,Isner J.)",-50.00000000000001
"Simon G.,Golubev A.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Greul S.,Simon G.","(Simon G.,Golubev A.);(Golubev A.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Greul S.);(Greul S.,Simon G.)",-50.00000000000001
"Malisse X.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Beck A.,Gimeno-Traver D.,Djokovic N.,Malisse X.","(Malisse X.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Djokovic N.);(Djokovic N.,Malisse X.)",50.00000000000001
"Fish M.,Golubev A.,Gimeno-Traver D.,Schuettler R.,Dent T.,Fish M.","(Fish M.,Golubev A.);(Golubev A.,Gimeno-Traver D.);(Gimeno-Traver D.,Schuettler R.);(Schuettler R.,Dent T.);(Dent T.,Fish M.)",50.00000000000001
