Analysis for k=3 (removing 3 nodes)
Total combinations analyzed: 1140
Original intransitivity percentage: 78.42%, (intransitivity: 95.503422, total: 121.781372)
======================================================================

Results (sorted by intransitivity percentage):
------------------------------------------------------------------------------------------------------------------------
Removed Nodes                                        Percentage     Intransitivity              Total
------------------------------------------------------------------------------------------------------------------------
{Wolves, Bournemouth, Man United}                        74.77%          76.130414         101.815544
{Bournemouth, Brentford, West Ham}                       74.77%          77.620432         103.806576
{Chelsea, Fulham, Arsenal}                               74.78%          78.303784         104.711428
{Brentford, Crystal Palace, Nott'm Forest}               74.78%          77.556162         103.706716
{Fulham, Ipswich, Man City}                              74.79%          77.589250         103.740953
{Brentford, Ipswich, Man United}                         74.80%          73.973931          98.889150
{Nott'm Forest, Brighton, Tottenham}                     74.82%          78.364902         104.740750
{Brentford, Nott'm Forest, Brighton}                     74.83%          77.627560         103.736322
{Chelsea, Bournemouth, Everton}                          74.87%          81.897506         109.392783
{Liverpool, Fulham, Brighton}                            74.88%          77.654151         103.706716
{West Ham, Brighton, Tottenham}                          74.90%          78.499549         104.805747
{Aston Villa, Crystal Palace, Brighton}                  74.91%          82.552103         110.198733
{Nott'm Forest, Tottenham, Man United}                   74.94%          75.591134         100.875196
{Chelsea, Brentford, Man United}                         74.94%          74.845493          99.878953
{Crystal Palace, Nott'm Forest, Tottenham}               74.95%          77.761526         103.756658
{Chelsea, Bournemouth, Brighton}                         74.95%          81.312900         108.494243
{Wolves, Aston Villa, Fulham}                            74.95%          78.434529         104.644576
{Newcastle, Fulham, Tottenham}                           74.95%          75.592567         100.852415
{Crystal Palace, West Ham, Nott'm Forest}                74.95%          79.867938         106.555723
{Wolves, Everton, Man United}                            74.96%          78.475146         104.691277
{Wolves, Crystal Palace, Man United}                     74.96%          77.002635         102.722072
{Chelsea, Crystal Palace, Everton}                       74.97%          82.623883         110.213518
{Wolves, Fulham, West Ham}                               74.98%          77.066465         102.781842
{Bournemouth, Southampton, Man United}                   75.00%          74.164942          98.889150
{Fulham, Southampton, Everton}                           75.02%          76.380007         101.810825
