cycle_nodes,cycle_edges,vorticity
"Hoffenheim,Holstein Kiel,Ein Frankfurt,Hoffenheim","(Hoffenheim,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Hoffenheim)",-1.38629436111989
"St Pauli,Holstein Kiel,Ein Frankfurt,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,St Pauli)",-1.38629436111989
"Wolfsburg,Holstein Kiel,Freiburg,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Wolfsburg)",-1.38629436111989
"Hoffenheim,Holstein Kiel,Freiburg,Hoffenheim","(Hoffenheim,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Hoffenheim)",-1.3862943611198897
"Heidenheim,Holstein Kiel,Bayern Munich,Heidenheim","(Heidenheim,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Heidenheim)",-8.881784197001252e-16
"Hoffenheim,Holstein Kiel,Bochum,Hoffenheim","(Hoffenheim,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Hoffenheim)",8.881784197001252e-16
"St Pauli,Holstein Kiel,Freiburg,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,St Pauli)",8.881784197001252e-16
"Werder Bremen,Holstein Kiel,Hoffenheim,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,Werder Bremen)",-4.440892098500626e-16
"Union Berlin,Holstein Kiel,Stuttgart,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Stuttgart);(Stuttgart,Union Berlin)",-4.440892098500626e-16
"Union Berlin,Holstein Kiel,Dortmund,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,Union Berlin)",-4.440892098500626e-16
"M'gladbach,Holstein Kiel,Bayern Munich,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,M'gladbach)",-4.440892098500626e-16
"Wolfsburg,Holstein Kiel,Bochum,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Wolfsburg)",-2.220446049250313e-16
"Mainz,Holstein Kiel,M'gladbach,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,M'gladbach);(M'gladbach,Mainz)",-2.220446049250313e-16
"Wolfsburg,Holstein Kiel,RB Leipzig,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,RB Leipzig);(RB Leipzig,Wolfsburg)",2.220446049250313e-16
"Werder Bremen,Holstein Kiel,Bochum,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Werder Bremen)",0.0
"Dortmund,Holstein Kiel,Bochum,Dortmund","(Dortmund,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Dortmund)",0.0
"Freiburg,Holstein Kiel,Bochum,Freiburg","(Freiburg,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Freiburg)",0.0
"RB Leipzig,Holstein Kiel,Bochum,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,RB Leipzig)",0.0
"Heidenheim,Holstein Kiel,Ein Frankfurt,Heidenheim","(Heidenheim,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Heidenheim)",0.0
"Werder Bremen,Holstein Kiel,Ein Frankfurt,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Werder Bremen)",0.0
"Heidenheim,Holstein Kiel,Freiburg,Heidenheim","(Heidenheim,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Heidenheim)",0.0
"RB Leipzig,Holstein Kiel,Mainz,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Mainz);(Mainz,RB Leipzig)",0.0
"RB Leipzig,Holstein Kiel,Heidenheim,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,RB Leipzig)",0.0
"Leverkusen,Holstein Kiel,Bochum,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Leverkusen)",0.0
"M'gladbach,Holstein Kiel,Freiburg,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,M'gladbach)",0.0
"Union Berlin,Holstein Kiel,Leverkusen,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,Union Berlin)",0.0
"Ein Frankfurt,Holstein Kiel,Bochum,Ein Frankfurt","(Ein Frankfurt,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Ein Frankfurt)",0.0
