cycle_nodes,cycle_edges,vorticity
"Udinese,Atalanta,Fiorentina,Udinese","(Udinese,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Udinese)",1.3862943611198908
"Udinese,Atalanta,Inter,Udinese","(Udinese,Atalanta);(Atalanta,Inter);(Inter,Udinese)",1.3862943611198908
"Juventus,Atalanta,Cagliari,Juventus","(Juventus,Atalanta);(Atalanta,Cagliari);(Cagliari,Juventus)",1.3862943611198908
"Venezia,Atalanta,Como,Venezia","(Venezia,Atalanta);(Atalanta,Como);(Como,Venezia)",1.3862943611198908
"Monza,Atalanta,Juventus,Monza","(Monza,Atalanta);(Atalanta,Juventus);(Juventus,Monza)",-1.3862943611198906
"Monza,Atalanta,Empoli,Monza","(Monza,Atalanta);(Atalanta,Empoli);(Empoli,Monza)",-1.3862943611198906
"Fiorentina,Atalanta,Bologna,Fiorentina","(Fiorentina,Atalanta);(Atalanta,Bologna);(Bologna,Fiorentina)",-1.3862943611198906
"Roma,Atalanta,Milan,Roma","(Roma,Atalanta);(Atalanta,Milan);(Milan,Roma)",1.3862943611198906
"Torino,Atalanta,Parma,Torino","(Torino,Atalanta);(Atalanta,Parma);(Parma,Torino)",-1.3862943611198904
"Milan,Atalanta,Genoa,Milan","(Milan,Atalanta);(Atalanta,Genoa);(Genoa,Milan)",1.3862943611198904
"Roma,Atalanta,Genoa,Roma","(Roma,Atalanta);(Atalanta,Genoa);(Genoa,Roma)",1.3862943611198904
"Verona,Atalanta,Genoa,Verona","(Verona,Atalanta);(Atalanta,Genoa);(Genoa,Verona)",1.38629436111989
"Genoa,Atalanta,Fiorentina,Genoa","(Genoa,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Genoa)",8.881784197001252e-16
"Venezia,Atalanta,Parma,Venezia","(Venezia,Atalanta);(Atalanta,Parma);(Parma,Venezia)",6.661338147750939e-16
"Verona,Atalanta,Empoli,Verona","(Verona,Atalanta);(Atalanta,Empoli);(Empoli,Verona)",-4.440892098500626e-16
"Verona,Atalanta,Monza,Verona","(Verona,Atalanta);(Atalanta,Monza);(Monza,Verona)",-4.440892098500626e-16
"Parma,Atalanta,Fiorentina,Parma","(Parma,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Parma)",-4.440892098500626e-16
"Como,Atalanta,Cagliari,Como","(Como,Atalanta);(Atalanta,Cagliari);(Cagliari,Como)",-2.220446049250313e-16
"Lazio,Atalanta,Como,Lazio","(Lazio,Atalanta);(Atalanta,Como);(Como,Lazio)",-2.220446049250313e-16
"Napoli,Atalanta,Bologna,Napoli","(Napoli,Atalanta);(Atalanta,Bologna);(Bologna,Napoli)",2.220446049250313e-16
"Napoli,Atalanta,Juventus,Napoli","(Napoli,Atalanta);(Atalanta,Juventus);(Juventus,Napoli)",2.220446049250313e-16
"Venezia,Atalanta,Napoli,Venezia","(Venezia,Atalanta);(Atalanta,Napoli);(Napoli,Venezia)",0.0
"Venezia,Atalanta,Cagliari,Venezia","(Venezia,Atalanta);(Atalanta,Cagliari);(Cagliari,Venezia)",0.0
"Juventus,Atalanta,Bologna,Juventus","(Juventus,Atalanta);(Atalanta,Bologna);(Bologna,Juventus)",0.0
"Juventus,Atalanta,Fiorentina,Juventus","(Juventus,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Juventus)",0.0
"Napoli,Atalanta,Empoli,Napoli","(Napoli,Atalanta);(Atalanta,Empoli);(Empoli,Napoli)",0.0
"Napoli,Atalanta,Monza,Napoli","(Napoli,Atalanta);(Atalanta,Monza);(Monza,Napoli)",0.0
"Inter,Atalanta,Como,Inter","(Inter,Atalanta);(Atalanta,Como);(Como,Inter)",0.0
"Verona,Atalanta,Roma,Verona","(Verona,Atalanta);(Atalanta,Roma);(Roma,Verona)",0.0
"Roma,Atalanta,Empoli,Roma","(Roma,Atalanta);(Atalanta,Empoli);(Empoli,Roma)",0.0
"Fiorentina,Atalanta,Como,Fiorentina","(Fiorentina,Atalanta);(Atalanta,Como);(Como,Fiorentina)",0.0
"Udinese,Atalanta,Napoli,Udinese","(Udinese,Atalanta);(Atalanta,Napoli);(Napoli,Udinese)",0.0
"Lecce,Atalanta,Cagliari,Lecce","(Lecce,Atalanta);(Atalanta,Cagliari);(Cagliari,Lecce)",0.0
"Parma,Atalanta,Juventus,Parma","(Parma,Atalanta);(Atalanta,Juventus);(Juventus,Parma)",0.0
"Napoli,Atalanta,Como,Napoli","(Napoli,Atalanta);(Atalanta,Como);(Como,Napoli)",0.0
"Napoli,Atalanta,Lazio,Napoli","(Napoli,Atalanta);(Atalanta,Lazio);(Lazio,Napoli)",0.0
"Udinese,Atalanta,Bologna,Udinese","(Udinese,Atalanta);(Atalanta,Bologna);(Bologna,Udinese)",0.0
"Venezia,Atalanta,Udinese,Venezia","(Venezia,Atalanta);(Atalanta,Udinese);(Udinese,Venezia)",0.0
"Parma,Atalanta,Bologna,Parma","(Parma,Atalanta);(Atalanta,Bologna);(Bologna,Parma)",0.0
"Napoli,Atalanta,Milan,Napoli","(Napoli,Atalanta);(Atalanta,Milan);(Milan,Napoli)",0.0
